epoch,train_loss,train_top1,test_top1,best_top1,closest_to_reference_top1,learning_rate,epoch_seconds,elapsed_seconds
61,2.86628323,29.445112,43.910000,46.670000,46.670000,0.0904508497,8.539583,542.893965
62,2.87299196,29.537260,45.700000,46.670000,46.670000,0.0901408738,8.615238,551.552661
63,2.85969681,29.497196,40.080000,46.670000,46.670000,0.0898264959,8.441606,560.035980
64,2.85626288,30.034054,44.850000,46.670000,46.670000,0.0895077506,8.648338,568.714048
65,2.86251302,29.859776,44.310000,46.670000,46.670000,0.0891846729,8.703227,577.448828
66,2.85012577,30.024038,45.690000,46.670000,46.670000,0.0888572981,8.606443,586.083958
67,2.84899166,29.987981,42.990000,46.670000,46.670000,0.0885256621,8.530968,594.645199
68,2.85020591,29.735577,46.150000,46.670000,46.670000,0.0881898014,8.754205,603.428610
69,2.84529482,29.975962,44.860000,46.670000,46.670000,0.0878497528,8.611312,612.068378
70,2.83507322,30.340545,42.320000,46.670000,46.670000,0.0875055535,8.836077,620.934059
71,2.83603051,30.094151,46.470000,46.670000,46.670000,0.0871572413,8.452953,629.417907
72,2.82847499,30.230369,46.150000,46.670000,46.670000,0.0868048544,8.568620,638.016368
73,2.82382883,30.554888,45.240000,46.670000,46.670000,0.0864484314,8.560254,646.606336
74,2.82037406,30.588942,44.570000,46.670000,46.670000,0.0860880114,8.576775,655.214553
75,2.82141527,30.635016,46.300000,46.670000,46.670000,0.0857236340,8.761640,664.005985
76,2.82494626,30.470753,45.830000,46.670000,46.670000,0.0853553391,8.698296,672.732520
77,2.81214821,30.811298,44.440000,46.670000,46.670000,0.0849831670,8.486926,681.250186
78,2.81504341,30.711138,47.130000,47.130000,47.130000,0.0846071587,8.560325,689.851924
79,2.79947439,30.859375,46.210000,47.130000,47.130000,0.0842273553,8.556493,698.525764
80,2.80894289,30.606971,44.830000,47.130000,47.130000,0.0838437985,8.681777,707.246944
81,2.78590247,31.372196,45.550000,47.130000,47.130000,0.0834565303,8.671845,715.947862
82,2.79723441,31.095753,48.320000,48.320000,48.320000,0.0830655933,8.684651,724.663208
83,2.77818213,31.380208,46.460000,48.320000,48.320000,0.0826710302,8.518444,733.293218
84,2.79305155,31.135817,47.220000,48.320000,48.320000,0.0822728844,8.546198,741.868705
85,2.78763198,31.300080,46.560000,48.320000,48.320000,0.0818711995,8.519194,750.417390
86,2.78151401,31.348157,46.920000,48.320000,48.320000,0.0814660196,8.663857,759.124458
87,2.77539505,31.247997,43.220000,48.320000,48.320000,0.0810573890,8.690467,767.860290
88,2.77640202,31.454327,46.920000,48.320000,48.320000,0.0806453527,8.581011,776.482376
89,2.77919498,31.250000,46.960000,48.320000,48.320000,0.0802299557,8.594461,785.107488
90,2.77181735,31.338141,47.540000,48.320000,48.320000,0.0798112437,8.823898,793.961353
91,2.77185922,31.648638,47.280000,48.320000,48.320000,0.0793892626,8.797330,802.790596
92,2.76268779,31.680689,46.100000,48.320000,48.320000,0.0789640586,8.653623,811.487293
93,2.75572331,31.770833,45.570000,48.320000,48.320000,0.0785356784,8.525559,820.053218
94,2.75097563,31.911058,45.310000,48.320000,48.320000,0.0781041689,8.642047,828.724288
95,2.76407744,31.951122,49.280000,49.280000,49.280000,0.0776695775,8.538238,837.291333
96,2.75239361,31.971154,46.970000,49.280000,49.280000,0.0772319518,8.765223,846.139089
97,2.74444133,31.937099,47.340000,49.280000,49.280000,0.0767913397,8.636288,854.804916
98,2.74872418,31.838942,46.950000,49.280000,49.280000,0.0763477898,8.540700,863.386371
99,2.72916505,32.199519,45.940000,49.280000,49.280000,0.0759013505,8.721833,872.138232
100,2.73460361,32.479968,48.260000,49.280000,49.280000,0.0754520708,8.690717,880.870995
101,2.73644493,32.197516,46.760000,49.280000,49.280000,0.0750000000,8.531021,889.433227
102,2.73611920,32.421875,46.680000,49.280000,49.280000,0.0745451877,8.753352,898.229897
103,2.72905276,32.431891,49.480000,49.480000,49.480000,0.0740876837,8.695549,906.968919
104,2.73523708,32.281651,50.060000,50.060000,50.060000,0.0736275382,8.598971,915.690761
105,2.71193374,32.834535,46.230000,50.060000,50.060000,0.0731648018,8.686113,924.512183
106,2.72057614,32.796474,49.050000,50.060000,50.060000,0.0726995250,8.560422,933.102485
107,2.71674818,32.814503,47.900000,50.060000,50.060000,0.0722317590,8.605345,941.736715
108,2.70827698,32.992788,47.420000,50.060000,50.060000,0.0717615550,8.726946,950.493191
109,2.70282151,32.912660,47.440000,50.060000,50.060000,0.0712889646,8.569942,959.092358
110,2.70156475,32.866587,47.400000,50.060000,50.060000,0.0708140396,8.537241,967.672666
111,2.69240511,33.291266,48.960000,50.060000,50.060000,0.0703368322,8.503798,976.219183
112,2.69001408,32.984776,47.630000,50.060000,50.060000,0.0698573945,8.596720,984.844644
113,2.68046311,33.421474,48.200000,50.060000,50.060000,0.0693757793,8.442122,993.317074
114,2.67610285,33.559696,49.110000,50.060000,50.060000,0.0688920393,8.724545,1002.084637
115,2.68644445,33.465545,48.050000,50.060000,50.060000,0.0684062276,8.745008,1010.858415
116,2.67790494,33.090946,51.530000,51.530000,51.530000,0.0679183975,8.642892,1019.544631
117,2.67877745,33.381410,49.640000,51.530000,51.530000,0.0674286024,8.603199,1028.248783
